2024-10-10 03:10:23 - [2024-10-10 03:10:23] MonsterMonstruo 231003101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada added to tray 1.
2024-10-10 09:47:57 - [2024-10-10 09:47:57] MonsterMonstruo 564709101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada added to tray 3.
2024-10-10 09:48:03 - [2024-10-10 09:48:03] MonsterMonstruo 14809101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica added to tray 4.
2024-10-10 09:48:05 - [2024-10-10 09:48:05] MonsterMonstruo 44809101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica added to tray 4.
2024-10-10 09:48:17 - [2024-10-10 09:48:17] Monster Monstruo 224709101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada emptied from tray 1.
2024-10-10 09:48:17 - [2024-10-10 09:48:17] Monster Monstruo 354709101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta emptied from tray 1.
2024-10-10 09:48:17 - [2024-10-10 09:48:17] Monster Monstruo 364709101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada emptied from tray 2.
2024-10-10 09:48:17 - [2024-10-10 09:48:17] Monster Monstruo 384709101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica emptied from tray 2.
2024-10-10 09:48:17 - [2024-10-10 09:48:17] Monster Monstruo 504709101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica emptied from tray 3.
2024-10-10 09:48:17 - [2024-10-10 09:48:17] Monster Monstruo 564709101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada emptied from tray 3.
2024-10-10 09:48:17 - [2024-10-10 09:48:17] Monster Monstruo 14809101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica emptied from tray 4.
2024-10-10 09:48:17 - [2024-10-10 09:48:17] Monster Monstruo 44809101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica emptied from tray 4.
2024-10-10 09:48:19 - [2024-10-10 09:48:19] MonsterMonstruo 174809101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada added to tray 1.
2024-10-10 09:48:23 - [2024-10-10 09:48:23] MonsterMonstruo 214809101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica added to tray 1.
2024-10-10 09:48:25 - [2024-10-10 09:48:25] MonsterMonstruo 234809101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica added to tray 2.
2024-10-10 09:48:27 - [2024-10-10 09:48:27] MonsterMonstruo 244809101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada added to tray 2.
2024-10-10 09:48:29 - [2024-10-10 09:48:29] MonsterMonstruo 274809101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta added to tray 3.
2024-10-10 09:48:31 - [2024-10-10 09:48:31] MonsterMonstruo 304809101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada added to tray 3.
2024-10-10 09:48:37 - [2024-10-10 09:48:37] MonsterMonstruo 364809101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta added to tray 4.
2024-10-10 09:48:43 - [2024-10-10 09:48:43] MonsterMonstruo 414809101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica added to tray 4.
2024-10-10 09:48:55 - [2024-10-10 09:48:55] Monster Monstruo 174809101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada emptied from tray 1.
2024-10-10 09:48:55 - [2024-10-10 09:48:55] Monster Monstruo 214809101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica emptied from tray 1.
2024-10-10 09:48:55 - [2024-10-10 09:48:55] Monster Monstruo 234809101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica emptied from tray 2.
2024-10-10 09:48:55 - [2024-10-10 09:48:55] Monster Monstruo 244809101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada emptied from tray 2.
2024-10-10 09:48:55 - [2024-10-10 09:48:55] Monster Monstruo 274809101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta emptied from tray 3.
2024-10-10 09:48:55 - [2024-10-10 09:48:55] Monster Monstruo 304809101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada emptied from tray 3.
2024-10-10 09:48:55 - [2024-10-10 09:48:55] Monster Monstruo 364809101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta emptied from tray 4.
2024-10-10 09:48:55 - [2024-10-10 09:48:55] Monster Monstruo 414809101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica emptied from tray 4.
2024-10-10 09:48:57 - [2024-10-10 09:48:57] MonsterMonstruo 424809101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada added to tray 1.
2024-10-10 09:48:59 - [2024-10-10 09:48:59] MonsterMonstruo 434809101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta added to tray 1.
2024-10-10 09:49:03 - [2024-10-10 09:49:03] MonsterMonstruo 14909101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta added to tray 2.
2024-10-10 09:49:05 - [2024-10-10 09:49:05] MonsterMonstruo 34909101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada added to tray 2.
2024-10-10 09:49:11 - [2024-10-10 09:49:11] MonsterMonstruo 94909101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica added to tray 3.
2024-10-10 09:49:13 - [2024-10-10 09:49:13] MonsterMonstruo 104909101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica added to tray 3.
2024-10-10 09:49:15 - [2024-10-10 09:49:15] MonsterMonstruo 134909101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica added to tray 4.
2024-10-10 09:49:17 - [2024-10-10 09:49:17] MonsterMonstruo 144909101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica added to tray 4.
2024-10-10 09:49:56 - [2024-10-10 09:49:56] MonsterMonstruo 544909101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada added to tray 1.
2024-10-10 09:50:12 - [2024-10-10 09:50:12] MonsterMonstruo 105009101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica added to tray 1.
2024-10-10 09:50:18 - [2024-10-10 09:50:18] MonsterMonstruo 165009101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada added to tray 2.
2024-10-10 09:50:32 - [2024-10-10 09:50:32] MonsterMonstruo 315009101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada added to tray 2.
2024-10-10 09:50:36 - [2024-10-10 09:50:36] MonsterMonstruo 345009101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica added to tray 3.
2024-10-10 09:50:46 - [2024-10-10 09:50:46] MonsterMonstruo 455009101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica added to tray 3.
2024-10-10 09:50:56 - [2024-10-10 09:50:56] MonsterMonstruo 555009101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica added to tray 4.
2024-10-10 09:50:58 - [2024-10-10 09:50:58] MonsterMonstruo 585009101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica added to tray 4.
2024-10-10 09:51:10 - [2024-10-10 09:51:10] Monster Monstruo 544909101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada emptied from tray 1.
2024-10-10 09:51:10 - [2024-10-10 09:51:10] Monster Monstruo 105009101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica emptied from tray 1.
2024-10-10 09:51:10 - [2024-10-10 09:51:10] Monster Monstruo 165009101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada emptied from tray 2.
2024-10-10 09:51:10 - [2024-10-10 09:51:10] Monster Monstruo 315009101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada emptied from tray 2.
2024-10-10 09:51:10 - [2024-10-10 09:51:10] Monster Monstruo 345009101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica emptied from tray 3.
2024-10-10 09:51:10 - [2024-10-10 09:51:10] Monster Monstruo 455009101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica emptied from tray 3.
2024-10-10 09:51:10 - [2024-10-10 09:51:10] Monster Monstruo 555009101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica emptied from tray 4.
2024-10-10 09:51:10 - [2024-10-10 09:51:10] Monster Monstruo 585009101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica emptied from tray 4.
2024-10-10 09:51:12 - [2024-10-10 09:51:12] MonsterMonstruo 595009101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada added to tray 1.
2024-10-10 09:51:14 - [2024-10-10 09:51:14] MonsterMonstruo 125109101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta added to tray 1.
2024-10-10 09:51:16 - [2024-10-10 09:51:16] MonsterMonstruo 135109101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada added to tray 2.
2024-10-10 09:51:22 - [2024-10-10 09:51:22] MonsterMonstruo 205109101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta added to tray 2.
2024-10-10 09:51:24 - [2024-10-10 09:51:24] MonsterMonstruo 225109101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta added to tray 3.
2024-10-10 09:51:26 - [2024-10-10 09:51:26] MonsterMonstruo 235109101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada added to tray 3.
2024-10-10 09:51:28 - [2024-10-10 09:51:28] MonsterMonstruo 265109101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica added to tray 4.
2024-10-10 09:51:32 - [2024-10-10 09:51:32] MonsterMonstruo 305109101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada added to tray 4.
2024-10-10 09:51:44 - [2024-10-10 09:51:44] Monster Monstruo 595009101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada emptied from tray 1.
2024-10-10 09:51:44 - [2024-10-10 09:51:44] Monster Monstruo 125109101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta emptied from tray 1.
2024-10-10 09:51:44 - [2024-10-10 09:51:44] Monster Monstruo 135109101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada emptied from tray 2.
2024-10-10 09:51:44 - [2024-10-10 09:51:44] Monster Monstruo 205109101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta emptied from tray 2.
2024-10-10 09:51:44 - [2024-10-10 09:51:44] Monster Monstruo 225109101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta emptied from tray 3.
2024-10-10 09:51:44 - [2024-10-10 09:51:44] Monster Monstruo 235109101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada emptied from tray 3.
2024-10-10 09:51:44 - [2024-10-10 09:51:44] Monster Monstruo 265109101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica emptied from tray 4.
2024-10-10 09:51:44 - [2024-10-10 09:51:44] Monster Monstruo 305109101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada emptied from tray 4.
2024-10-10 09:51:46 - [2024-10-10 09:51:46] MonsterMonstruo 325109101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica added to tray 1.
2024-10-10 09:52:12 - [2024-10-10 09:52:12] MonsterMonstruo 125209101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica added to tray 1.
2024-10-10 09:52:23 - [2024-10-10 09:52:23] MonsterMonstruo 215209101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica added to tray 2.
2024-10-10 09:52:33 - [2024-10-10 09:52:33] MonsterMonstruo 315209101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada added to tray 2.
2024-10-10 09:52:35 - [2024-10-10 09:52:35] MonsterMonstruo 335209101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada added to tray 3.
2024-10-10 09:52:39 - [2024-10-10 09:52:39] MonsterMonstruo 375209101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada added to tray 3.
2024-10-10 09:52:41 - [2024-10-10 09:52:41] MonsterMonstruo 385209101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica added to tray 4.
2024-10-10 09:52:43 - [2024-10-10 09:52:43] MonsterMonstruo 405209101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica added to tray 4.
2024-10-10 09:52:55 - [2024-10-10 09:52:55] Monster Monstruo 325109101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica emptied from tray 1.
2024-10-10 09:52:55 - [2024-10-10 09:52:55] Monster Monstruo 125209101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica emptied from tray 1.
2024-10-10 09:52:55 - [2024-10-10 09:52:55] Monster Monstruo 215209101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica emptied from tray 2.
2024-10-10 09:52:55 - [2024-10-10 09:52:55] Monster Monstruo 315209101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada emptied from tray 2.
2024-10-10 09:52:55 - [2024-10-10 09:52:55] Monster Monstruo 335209101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada emptied from tray 3.
2024-10-10 09:52:55 - [2024-10-10 09:52:55] Monster Monstruo 375209101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada emptied from tray 3.
2024-10-10 09:52:55 - [2024-10-10 09:52:55] Monster Monstruo 385209101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica emptied from tray 4.
2024-10-10 09:52:55 - [2024-10-10 09:52:55] Monster Monstruo 405209101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica emptied from tray 4.
2024-10-10 09:52:57 - [2024-10-10 09:52:57] MonsterMonstruo 425209101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica added to tray 1.
2024-10-10 09:52:59 - [2024-10-10 09:52:59] MonsterMonstruo 565209101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada added to tray 1.
2024-10-10 09:53:05 - [2024-10-10 09:53:05] MonsterMonstruo 35309101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta added to tray 2.
2024-10-10 09:53:19 - [2024-10-10 09:53:19] MonsterMonstruo 175309101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada added to tray 2.
2024-10-10 09:53:27 - [2024-10-10 09:53:27] MonsterMonstruo 265309101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada added to tray 3.
2024-10-10 09:53:33 - [2024-10-10 09:53:33] MonsterMonstruo 315309101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta added to tray 3.
2024-10-10 09:53:43 - [2024-10-10 09:53:43] MonsterMonstruo 415309101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta added to tray 4.
2024-10-10 09:53:45 - [2024-10-10 09:53:45] MonsterMonstruo 445309101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica added to tray 4.
2024-10-10 09:53:57 - [2024-10-10 09:53:57] Monster Monstruo 425209101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica emptied from tray 1.
2024-10-10 09:53:57 - [2024-10-10 09:53:57] Monster Monstruo 565209101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada emptied from tray 1.
2024-10-10 09:53:57 - [2024-10-10 09:53:57] Monster Monstruo 35309101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta emptied from tray 2.
2024-10-10 09:53:57 - [2024-10-10 09:53:57] Monster Monstruo 175309101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada emptied from tray 2.
2024-10-10 09:53:57 - [2024-10-10 09:53:57] Monster Monstruo 265309101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada emptied from tray 3.
2024-10-10 09:53:57 - [2024-10-10 09:53:57] Monster Monstruo 315309101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta emptied from tray 3.
2024-10-10 09:53:57 - [2024-10-10 09:53:57] Monster Monstruo 415309101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta emptied from tray 4.
2024-10-10 09:53:57 - [2024-10-10 09:53:57] Monster Monstruo 445309101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica emptied from tray 4.
2024-10-10 09:53:59 - [2024-10-10 09:53:59] MonsterMonstruo 455309101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada added to tray 1.
2024-10-10 09:54:03 - [2024-10-10 09:54:03] MonsterMonstruo 25409101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica added to tray 1.
2024-10-10 09:54:07 - [2024-10-10 09:54:07] MonsterMonstruo 55409101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada added to tray 2.
2024-10-10 09:54:15 - [2024-10-10 09:54:15] MonsterMonstruo 135409101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica added to tray 2.
2024-10-10 09:54:19 - [2024-10-10 09:54:19] MonsterMonstruo 175409101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada added to tray 3.
2024-10-10 09:54:23 - [2024-10-10 09:54:23] MonsterMonstruo 225409101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta added to tray 3.
2024-10-10 09:54:31 - [2024-10-10 09:54:31] MonsterMonstruo 295409101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada added to tray 4.
2024-10-10 09:54:39 - [2024-10-10 09:54:39] MonsterMonstruo 395409101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica added to tray 4.
2024-10-10 09:54:51 - [2024-10-10 09:54:51] Monster Monstruo 455309101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada emptied from tray 1.
2024-10-10 09:54:51 - [2024-10-10 09:54:51] Monster Monstruo 25409101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica emptied from tray 1.
2024-10-10 09:54:51 - [2024-10-10 09:54:51] Monster Monstruo 55409101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada emptied from tray 2.
2024-10-10 09:54:51 - [2024-10-10 09:54:51] Monster Monstruo 135409101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica emptied from tray 2.
2024-10-10 09:54:51 - [2024-10-10 09:54:51] Monster Monstruo 175409101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada emptied from tray 3.
2024-10-10 09:54:51 - [2024-10-10 09:54:51] Monster Monstruo 225409101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta emptied from tray 3.
2024-10-10 09:54:51 - [2024-10-10 09:54:51] Monster Monstruo 295409101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada emptied from tray 4.
2024-10-10 09:54:51 - [2024-10-10 09:54:51] Monster Monstruo 395409101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica emptied from tray 4.
2024-10-10 09:54:53 - [2024-10-10 09:54:53] MonsterMonstruo 525409101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica added to tray 1.
2024-10-10 09:54:59 - [2024-10-10 09:54:59] MonsterMonstruo 585409101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada added to tray 1.
2024-10-10 09:55:01 - [2024-10-10 09:55:01] MonsterMonstruo 595409101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta added to tray 2.
2024-10-10 09:55:03 - [2024-10-10 09:55:03] MonsterMonstruo 5509101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica added to tray 2.
2024-10-10 09:55:05 - [2024-10-10 09:55:05] MonsterMonstruo 15509101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada added to tray 3.
2024-10-10 09:55:13 - [2024-10-10 09:55:13] MonsterMonstruo 135509101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica added to tray 3.
2024-10-10 09:55:15 - [2024-10-10 09:55:15] MonsterMonstruo 145509101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica added to tray 4.
2024-10-10 09:55:17 - [2024-10-10 09:55:17] MonsterMonstruo 155509101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica added to tray 4.
2024-10-10 09:55:29 - [2024-10-10 09:55:29] Monster Monstruo 525409101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica emptied from tray 1.
2024-10-10 09:55:29 - [2024-10-10 09:55:29] Monster Monstruo 585409101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada emptied from tray 1.
2024-10-10 09:55:29 - [2024-10-10 09:55:29] Monster Monstruo 595409101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta emptied from tray 2.
2024-10-10 09:55:29 - [2024-10-10 09:55:29] Monster Monstruo 5509101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica emptied from tray 2.
2024-10-10 09:55:29 - [2024-10-10 09:55:29] Monster Monstruo 15509101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada emptied from tray 3.
2024-10-10 09:55:29 - [2024-10-10 09:55:29] Monster Monstruo 135509101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica emptied from tray 3.
2024-10-10 09:55:29 - [2024-10-10 09:55:29] Monster Monstruo 145509101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica emptied from tray 4.
2024-10-10 09:55:29 - [2024-10-10 09:55:29] Monster Monstruo 155509101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica emptied from tray 4.
2024-10-10 09:55:31 - [2024-10-10 09:55:31] MonsterMonstruo 305509101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica added to tray 1.
2024-10-10 09:55:35 - [2024-10-10 09:55:35] MonsterMonstruo 335509101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica added to tray 1.
2024-10-10 09:55:39 - [2024-10-10 09:55:39] MonsterMonstruo 395509101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica added to tray 2.
2024-10-10 09:55:41 - [2024-10-10 09:55:41] MonsterMonstruo 415509101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada added to tray 2.
2024-10-10 09:55:46 - [2024-10-10 09:55:46] MonsterMonstruo 455509101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica added to tray 3.
2024-10-10 09:55:58 - [2024-10-10 09:55:58] MonsterMonstruo 565509101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada added to tray 3.
2024-10-10 09:56:02 - [2024-10-10 09:56:02] MonsterMonstruo 5609101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica added to tray 4.
2024-10-10 09:56:04 - [2024-10-10 09:56:04] MonsterMonstruo 15609101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada added to tray 4.
2024-10-10 09:56:16 - [2024-10-10 09:56:16] Monster Monstruo 305509101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica emptied from tray 1.
2024-10-10 09:56:16 - [2024-10-10 09:56:16] Monster Monstruo 335509101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica emptied from tray 1.
2024-10-10 09:56:16 - [2024-10-10 09:56:16] Monster Monstruo 395509101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica emptied from tray 2.
2024-10-10 09:56:16 - [2024-10-10 09:56:16] Monster Monstruo 415509101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada emptied from tray 2.
2024-10-10 09:56:16 - [2024-10-10 09:56:16] Monster Monstruo 455509101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica emptied from tray 3.
2024-10-10 09:56:16 - [2024-10-10 09:56:16] Monster Monstruo 565509101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada emptied from tray 3.
2024-10-10 09:56:16 - [2024-10-10 09:56:16] Monster Monstruo 5609101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica emptied from tray 4.
2024-10-10 09:56:16 - [2024-10-10 09:56:16] Monster Monstruo 15609101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada emptied from tray 4.
2024-10-10 09:56:18 - [2024-10-10 09:56:18] MonsterMonstruo 45609101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada added to tray 1.
2024-10-10 09:56:28 - [2024-10-10 09:56:28] MonsterMonstruo 275609101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada added to tray 1.
2024-10-10 09:56:34 - [2024-10-10 09:56:34] MonsterMonstruo 325609101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica added to tray 2.
2024-10-10 09:56:36 - [2024-10-10 09:56:36] MonsterMonstruo 345609101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica added to tray 2.
2024-10-10 09:56:38 - [2024-10-10 09:56:38] MonsterMonstruo 365609101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica added to tray 3.
2024-10-10 09:56:46 - [2024-10-10 09:56:46] MonsterMonstruo 445609101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica added to tray 3.
2024-10-10 09:56:48 - [2024-10-10 09:56:48] MonsterMonstruo 455609101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta added to tray 4.
2024-10-10 09:56:50 - [2024-10-10 09:56:50] MonsterMonstruo 475609101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica added to tray 4.
2024-10-10 09:57:02 - [2024-10-10 09:57:02] Monster Monstruo 45609101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada emptied from tray 1.
2024-10-10 09:57:02 - [2024-10-10 09:57:02] Monster Monstruo 275609101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada emptied from tray 1.
2024-10-10 09:57:02 - [2024-10-10 09:57:02] Monster Monstruo 325609101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica emptied from tray 2.
2024-10-10 09:57:02 - [2024-10-10 09:57:02] Monster Monstruo 345609101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica emptied from tray 2.
2024-10-10 09:57:02 - [2024-10-10 09:57:02] Monster Monstruo 365609101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica emptied from tray 3.
2024-10-10 09:57:02 - [2024-10-10 09:57:02] Monster Monstruo 445609101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica emptied from tray 3.
2024-10-10 09:57:02 - [2024-10-10 09:57:02] Monster Monstruo 455609101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta emptied from tray 4.
2024-10-10 09:57:02 - [2024-10-10 09:57:02] Monster Monstruo 475609101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica emptied from tray 4.
