2024-10-10 03:10:23 - [2024-10-10 03:10:23] Monster Monstruo 231003101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 09:47:16 - [2024-10-10 09:47:16] Monster Monstruo 164709101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 09:47:17 - [2024-10-10 09:47:17] Monster Monstruo 174709101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 09:47:22 - [2024-10-10 09:47:22] Monster Monstruo 224709101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 09:47:32 - [2024-10-10 09:47:32] Monster Monstruo 454609101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was dequeued.
2024-10-10 09:47:35 - [2024-10-10 09:47:35] Monster Monstruo 354709101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 09:47:36 - [2024-10-10 09:47:36] Monster Monstruo 364709101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 09:47:38 - [2024-10-10 09:47:38] Monster Monstruo 384709101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 09:47:50 - [2024-10-10 09:47:50] Monster Monstruo 504709101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 09:47:56 - [2024-10-10 09:47:56] Monster Monstruo 564709101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 09:48:01 - [2024-10-10 09:48:01] Monster Monstruo 14809101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 09:48:04 - [2024-10-10 09:48:04] Monster Monstruo 44809101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 09:48:17 - [2024-10-10 09:48:17] Monster Monstruo 224709101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was dequeued.
2024-10-10 09:48:17 - [2024-10-10 09:48:17] Monster Monstruo 174809101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 09:48:21 - [2024-10-10 09:48:21] Monster Monstruo 214809101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 09:48:23 - [2024-10-10 09:48:23] Monster Monstruo 234809101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 09:48:24 - [2024-10-10 09:48:24] Monster Monstruo 244809101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 09:48:27 - [2024-10-10 09:48:27] Monster Monstruo 274809101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 09:48:30 - [2024-10-10 09:48:30] Monster Monstruo 304809101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 09:48:36 - [2024-10-10 09:48:36] Monster Monstruo 364809101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 09:48:41 - [2024-10-10 09:48:41] Monster Monstruo 414809101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 09:48:42 - [2024-10-10 09:48:42] Monster Monstruo 424809101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 09:48:43 - [2024-10-10 09:48:43] Monster Monstruo 434809101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 09:48:55 - [2024-10-10 09:48:55] Monster Monstruo 174809101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was dequeued.
2024-10-10 09:49:01 - [2024-10-10 09:49:01] Monster Monstruo 14909101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 09:49:03 - [2024-10-10 09:49:03] Monster Monstruo 34909101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 09:49:09 - [2024-10-10 09:49:09] Monster Monstruo 94909101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 09:49:10 - [2024-10-10 09:49:10] Monster Monstruo 104909101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 09:49:13 - [2024-10-10 09:49:13] Monster Monstruo 134909101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 09:49:14 - [2024-10-10 09:49:14] Monster Monstruo 144909101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 09:49:18 - [2024-10-10 09:49:18] Monster Monstruo 184909101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 09:49:54 - [2024-10-10 09:49:54] Monster Monstruo 544909101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 09:50:10 - [2024-10-10 09:50:10] Monster Monstruo 105009101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 09:50:16 - [2024-10-10 09:50:16] Monster Monstruo 165009101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 09:50:31 - [2024-10-10 09:50:31] Monster Monstruo 315009101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 09:50:34 - [2024-10-10 09:50:34] Monster Monstruo 345009101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 09:50:45 - [2024-10-10 09:50:45] Monster Monstruo 455009101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 09:50:55 - [2024-10-10 09:50:55] Monster Monstruo 555009101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 09:50:58 - [2024-10-10 09:50:58] Monster Monstruo 585009101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 09:50:59 - [2024-10-10 09:50:59] Monster Monstruo 595009101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 09:51:10 - [2024-10-10 09:51:10] Monster Monstruo 544909101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was dequeued.
2024-10-10 09:51:12 - [2024-10-10 09:51:12] Monster Monstruo 125109101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 09:51:13 - [2024-10-10 09:51:13] Monster Monstruo 135109101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 09:51:20 - [2024-10-10 09:51:20] Monster Monstruo 205109101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 09:51:22 - [2024-10-10 09:51:22] Monster Monstruo 225109101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 09:51:23 - [2024-10-10 09:51:23] Monster Monstruo 235109101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 09:51:26 - [2024-10-10 09:51:26] Monster Monstruo 265109101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 09:51:30 - [2024-10-10 09:51:30] Monster Monstruo 305109101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 09:51:32 - [2024-10-10 09:51:32] Monster Monstruo 325109101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 09:51:44 - [2024-10-10 09:51:44] Monster Monstruo 595009101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was dequeued.
2024-10-10 09:52:12 - [2024-10-10 09:52:12] Monster Monstruo 125209101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 09:52:21 - [2024-10-10 09:52:21] Monster Monstruo 215209101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 09:52:31 - [2024-10-10 09:52:31] Monster Monstruo 315209101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 09:52:33 - [2024-10-10 09:52:33] Monster Monstruo 335209101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 09:52:37 - [2024-10-10 09:52:37] Monster Monstruo 375209101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 09:52:38 - [2024-10-10 09:52:38] Monster Monstruo 385209101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 09:52:40 - [2024-10-10 09:52:40] Monster Monstruo 405209101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 09:52:42 - [2024-10-10 09:52:42] Monster Monstruo 425209101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 09:52:55 - [2024-10-10 09:52:55] Monster Monstruo 325109101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was dequeued.
2024-10-10 09:52:56 - [2024-10-10 09:52:56] Monster Monstruo 565209101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 09:53:03 - [2024-10-10 09:53:03] Monster Monstruo 35309101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 09:53:17 - [2024-10-10 09:53:17] Monster Monstruo 175309101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 09:53:26 - [2024-10-10 09:53:26] Monster Monstruo 265309101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 09:53:31 - [2024-10-10 09:53:31] Monster Monstruo 315309101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 09:53:41 - [2024-10-10 09:53:41] Monster Monstruo 415309101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 09:53:44 - [2024-10-10 09:53:44] Monster Monstruo 445309101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 09:53:45 - [2024-10-10 09:53:45] Monster Monstruo 455309101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 09:53:57 - [2024-10-10 09:53:57] Monster Monstruo 425209101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was dequeued.
2024-10-10 09:54:02 - [2024-10-10 09:54:02] Monster Monstruo 25409101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 09:54:05 - [2024-10-10 09:54:05] Monster Monstruo 55409101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 09:54:13 - [2024-10-10 09:54:13] Monster Monstruo 135409101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 09:54:17 - [2024-10-10 09:54:17] Monster Monstruo 175409101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 09:54:22 - [2024-10-10 09:54:22] Monster Monstruo 225409101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 09:54:29 - [2024-10-10 09:54:29] Monster Monstruo 295409101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 09:54:39 - [2024-10-10 09:54:39] Monster Monstruo 395409101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 09:54:51 - [2024-10-10 09:54:51] Monster Monstruo 455309101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was dequeued.
2024-10-10 09:54:52 - [2024-10-10 09:54:52] Monster Monstruo 525409101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 09:54:58 - [2024-10-10 09:54:58] Monster Monstruo 585409101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 09:54:59 - [2024-10-10 09:54:59] Monster Monstruo 595409101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 09:55:00 - [2024-10-10 09:55:00] Monster Monstruo 5509101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 09:55:01 - [2024-10-10 09:55:01] Monster Monstruo 15509101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 09:55:13 - [2024-10-10 09:55:13] Monster Monstruo 135509101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 09:55:14 - [2024-10-10 09:55:14] Monster Monstruo 145509101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 09:55:15 - [2024-10-10 09:55:15] Monster Monstruo 155509101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 09:55:29 - [2024-10-10 09:55:29] Monster Monstruo 525409101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was dequeued.
2024-10-10 09:55:30 - [2024-10-10 09:55:30] Monster Monstruo 305509101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 09:55:33 - [2024-10-10 09:55:33] Monster Monstruo 335509101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 09:55:39 - [2024-10-10 09:55:39] Monster Monstruo 395509101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 09:55:41 - [2024-10-10 09:55:41] Monster Monstruo 415509101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 09:55:45 - [2024-10-10 09:55:45] Monster Monstruo 455509101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 09:55:56 - [2024-10-10 09:55:56] Monster Monstruo 565509101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 09:56:00 - [2024-10-10 09:56:00] Monster Monstruo 5609101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 09:56:01 - [2024-10-10 09:56:01] Monster Monstruo 15609101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 09:56:04 - [2024-10-10 09:56:04] Monster Monstruo 45609101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 09:56:16 - [2024-10-10 09:56:16] Monster Monstruo 305509101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was dequeued.
2024-10-10 09:56:27 - [2024-10-10 09:56:27] Monster Monstruo 275609101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 09:56:32 - [2024-10-10 09:56:32] Monster Monstruo 325609101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 09:56:34 - [2024-10-10 09:56:34] Monster Monstruo 345609101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 09:56:36 - [2024-10-10 09:56:36] Monster Monstruo 365609101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 09:56:44 - [2024-10-10 09:56:44] Monster Monstruo 445609101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 09:56:45 - [2024-10-10 09:56:45] Monster Monstruo 455609101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 09:56:47 - [2024-10-10 09:56:47] Monster Monstruo 475609101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 09:56:49 - [2024-10-10 09:56:49] Monster Monstruo 495609101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 09:56:51 - [2024-10-10 09:56:51] Monster Monstruo 515609101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 09:57:02 - [2024-10-10 09:57:02] Monster Monstruo 45609101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was dequeued.
2024-10-10 09:57:19 - [2024-10-10 09:57:19] Monster Monstruo 195709101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 09:57:21 - [2024-10-10 09:57:21] Monster Monstruo 215709101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 09:57:25 - [2024-10-10 09:57:25] Monster Monstruo 255709101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 09:57:27 - [2024-10-10 09:57:27] Monster Monstruo 275709101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 09:57:31 - [2024-10-10 09:57:31] Monster Monstruo 315709101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 09:57:34 - [2024-10-10 09:57:34] Monster Monstruo 345709101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 09:57:37 - [2024-10-10 09:57:37] Monster Monstruo 375709101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 09:57:48 - [2024-10-10 09:57:48] Monster Monstruo 495609101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was dequeued.
2024-10-10 09:57:48 - [2024-10-10 09:57:48] Monster Monstruo 485709101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 09:58:06 - [2024-10-10 09:58:06] Monster Monstruo 65809101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 09:58:08 - [2024-10-10 09:58:08] Monster Monstruo 85809101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 09:58:10 - [2024-10-10 09:58:10] Monster Monstruo 105809101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 09:58:11 - [2024-10-10 09:58:11] Monster Monstruo 115809101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 09:58:12 - [2024-10-10 09:58:12] Monster Monstruo 125809101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 09:58:16 - [2024-10-10 09:58:16] Monster Monstruo 165809101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 09:58:29 - [2024-10-10 09:58:29] Monster Monstruo 375709101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was dequeued.
2024-10-10 09:58:35 - [2024-10-10 09:58:35] Monster Monstruo 355809101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 09:58:37 - [2024-10-10 09:58:37] Monster Monstruo 375809101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 09:58:40 - [2024-10-10 09:58:40] Monster Monstruo 405809101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 09:58:42 - [2024-10-10 09:58:42] Monster Monstruo 425809101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 09:58:44 - [2024-10-10 09:58:44] Monster Monstruo 445809101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 09:58:50 - [2024-10-10 09:58:50] Monster Monstruo 505809101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 10:22:04 - [2024-10-10 10:22:04] Monster Monstruo 42210101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 10:22:07 - [2024-10-10 10:22:07] Monster Monstruo 72210101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 10:22:10 - [2024-10-10 10:22:10] Monster Monstruo 102210101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 10:22:11 - [2024-10-10 10:22:11] Monster Monstruo 112210101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 10:22:13 - [2024-10-10 10:22:13] Monster Monstruo 132210101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 10:22:18 - [2024-10-10 10:22:18] Monster Monstruo 182210101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 10:22:22 - [2024-10-10 10:22:22] Monster Monstruo 222210101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 10:22:27 - [2024-10-10 10:22:27] Monster Monstruo 272210101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 10:22:40 - [2024-10-10 10:22:40] Monster Monstruo 42210101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was dequeued.
2024-10-10 10:22:42 - [2024-10-10 10:22:42] Monster Monstruo 422210101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 10:22:44 - [2024-10-10 10:22:44] Monster Monstruo 442210101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 10:22:46 - [2024-10-10 10:22:46] Monster Monstruo 462210101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 10:22:47 - [2024-10-10 10:22:47] Monster Monstruo 472210101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 10:22:48 - [2024-10-10 10:22:48] Monster Monstruo 482210101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 10:22:50 - [2024-10-10 10:22:50] Monster Monstruo 502210101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 10:22:57 - [2024-10-10 10:22:57] Monster Monstruo 572210101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 10:23:00 - [2024-10-10 10:23:00] Monster Monstruo 2310101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 10:23:01 - [2024-10-10 10:23:01] Monster Monstruo 12310101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 10:23:14 - [2024-10-10 10:23:14] Monster Monstruo 422210101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was dequeued.
2024-10-10 10:23:18 - [2024-10-10 10:23:18] Monster Monstruo 182310101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 10:23:22 - [2024-10-10 10:23:22] Monster Monstruo 222310101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 10:23:31 - [2024-10-10 10:23:31] Monster Monstruo 312310101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 10:23:32 - [2024-10-10 10:23:32] Monster Monstruo 322310101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 10:23:36 - [2024-10-10 10:23:36] Monster Monstruo 362310101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 10:23:37 - [2024-10-10 10:23:37] Monster Monstruo 372310101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 10:23:38 - [2024-10-10 10:23:38] Monster Monstruo 382310101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 10:23:40 - [2024-10-10 10:23:40] Monster Monstruo 402310101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 10:23:42 - [2024-10-10 10:23:42] Monster Monstruo 422310101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 10:23:53 - [2024-10-10 10:23:53] Monster Monstruo 12310101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was dequeued.
2024-10-10 10:24:01 - [2024-10-10 10:24:01] Monster Monstruo 12410101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 10:24:05 - [2024-10-10 10:24:05] Monster Monstruo 52410101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 10:24:17 - [2024-10-10 10:24:17] Monster Monstruo 172410101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 10:24:21 - [2024-10-10 10:24:21] Monster Monstruo 212410101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 10:24:28 - [2024-10-10 10:24:28] Monster Monstruo 282410101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 10:24:30 - [2024-10-10 10:24:30] Monster Monstruo 302410101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 10:24:43 - [2024-10-10 10:24:43] Monster Monstruo 402310101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was dequeued.
2024-10-10 10:24:44 - [2024-10-10 10:24:44] Monster Monstruo 442410101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 10:24:47 - [2024-10-10 10:24:47] Monster Monstruo 472410101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 10:24:54 - [2024-10-10 10:24:54] Monster Monstruo 542410101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 10:24:58 - [2024-10-10 10:24:58] Monster Monstruo 582410101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 10:25:00 - [2024-10-10 10:25:00] Monster Monstruo 2510101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 10:25:01 - [2024-10-10 10:25:01] Monster Monstruo 12510101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
