2024-10-10 09:45:06 - [2024-10-10 09:45:06] The order: Name: NATALIA, Priority: No, Number: PROGRA, of 1, INTELIGENCIA, VELOCIDAD, LOCURA, 
2024-10-10 09:45:06 - [2024-10-10 09:45:06] The order: Name: ALLAN, Priority: No, Number: 2, of DESTRUCCION, 
2024-10-10 09:57:19 - [2024-10-10 09:57:19] Monster Monstruo 195709101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 09:57:20 - [2024-10-10 09:57:20] MonsterMonstruo 195709101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica added to tray 2.
2024-10-10 09:57:20 - [2024-10-10 09:57:20] The monster Monstruo 205709101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:57:21 - [2024-10-10 09:57:21] Monster Monstruo 215709101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 09:57:22 - [2024-10-10 09:57:22] MonsterMonstruo 215709101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica added to tray 2.
2024-10-10 09:57:22 - [2024-10-10 09:57:22] The monster Monstruo 225709101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 09:57:23 - [2024-10-10 09:57:23] The monster Monstruo 235709101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Caótica entered the garbage collector because it was GOOD.
2024-10-10 09:57:24 - [2024-10-10 09:57:24] The monster Monstruo 245709101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 09:57:25 - [2024-10-10 09:57:25] Monster Monstruo 255709101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 09:57:26 - [2024-10-10 09:57:26] MonsterMonstruo 255709101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta added to tray 3.
2024-10-10 09:57:26 - [2024-10-10 09:57:26] The monster Monstruo 265709101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:57:27 - [2024-10-10 09:57:27] Monster Monstruo 275709101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 09:57:28 - [2024-10-10 09:57:28] MonsterMonstruo 275709101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica added to tray 3.
2024-10-10 09:57:28 - [2024-10-10 09:57:28] The monster Monstruo 285709101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:57:29 - [2024-10-10 09:57:29] The monster Monstruo 295709101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:57:30 - [2024-10-10 09:57:30] The monster Monstruo 305709101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:57:31 - [2024-10-10 09:57:31] Monster Monstruo 315709101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 09:57:32 - [2024-10-10 09:57:32] MonsterMonstruo 315709101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada added to tray 4.
2024-10-10 09:57:32 - [2024-10-10 09:57:32] The monster Monstruo 325709101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:57:33 - [2024-10-10 09:57:33] The monster Monstruo 335709101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Caótica entered the garbage collector because it was GOOD.
2024-10-10 09:57:34 - [2024-10-10 09:57:34] Monster Monstruo 345709101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 09:57:36 - [2024-10-10 09:57:36] The monster Monstruo 365709101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:57:36 - [2024-10-10 09:57:36] MonsterMonstruo 345709101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada added to tray 4.
2024-10-10 09:57:37 - [2024-10-10 09:57:37] Monster Monstruo 375709101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 09:57:38 - [2024-10-10 09:57:38] The monster Monstruo 385709101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:57:48 - [2024-10-10 09:57:48] Monster Monstruo 495609101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada emptied from tray 1.
2024-10-10 09:57:48 - [2024-10-10 09:57:48] Monster Monstruo 515609101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica emptied from tray 1.
2024-10-10 09:57:48 - [2024-10-10 09:57:48] Monster Monstruo 195709101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica emptied from tray 2.
2024-10-10 09:57:48 - [2024-10-10 09:57:48] Monster Monstruo 215709101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica emptied from tray 2.
2024-10-10 09:57:48 - [2024-10-10 09:57:48] Monster Monstruo 255709101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta emptied from tray 3.
2024-10-10 09:57:48 - [2024-10-10 09:57:48] Monster Monstruo 275709101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica emptied from tray 3.
2024-10-10 09:57:48 - [2024-10-10 09:57:48] Monster Monstruo 315709101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada emptied from tray 4.
2024-10-10 09:57:48 - [2024-10-10 09:57:48] Monster Monstruo 345709101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada emptied from tray 4.
2024-10-10 09:57:48 - [2024-10-10 09:57:48] Monster Monstruo 495609101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was dequeued.
2024-10-10 09:57:48 - [2024-10-10 09:57:48] The monster Monstruo 495609101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada entered storage and is available for delivery.
2024-10-10 09:57:48 - [2024-10-10 09:57:48] The monster Monstruo 515609101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica entered storage and is available for delivery.
2024-10-10 09:57:48 - [2024-10-10 09:57:48] The monster Monstruo 195709101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica entered storage and is available for delivery.
2024-10-10 09:57:48 - [2024-10-10 09:57:48] The monster Monstruo 215709101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica entered the garbage collector because inspector 2 discarded it.
2024-10-10 09:57:48 - [2024-10-10 09:57:48] The monster Monstruo 255709101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta entered storage and is available for delivery.
2024-10-10 09:57:48 - [2024-10-10 09:57:48] The monster Monstruo 275709101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica entered storage and is available for delivery.
2024-10-10 09:57:48 - [2024-10-10 09:57:48] The monster Monstruo 315709101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada entered storage and is available for delivery.
2024-10-10 09:57:48 - [2024-10-10 09:57:48] The monster Monstruo 345709101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada entered the garbage collector because inspector 2 discarded it.
2024-10-10 09:57:48 - [2024-10-10 09:57:48] Monster Monstruo 485709101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 09:57:49 - [2024-10-10 09:57:49] The monster Monstruo 495709101024 , Tipo: BUENO , Combinación Oscura, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:57:50 - [2024-10-10 09:57:50] MonsterMonstruo 375709101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica added to tray 1.
2024-10-10 09:57:50 - [2024-10-10 09:57:50] The monster Monstruo 505709101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:57:51 - [2024-10-10 09:57:51] The monster Monstruo 515709101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:57:52 - [2024-10-10 09:57:52] MonsterMonstruo 485709101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada added to tray 1.
2024-10-10 09:57:52 - [2024-10-10 09:57:52] The monster Monstruo 525709101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 09:57:53 - [2024-10-10 09:57:53] The monster Monstruo 535709101024 , Tipo: BUENO , Combinación Oscura, Metálico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:57:54 - [2024-10-10 09:57:54] The monster Monstruo 545709101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 09:57:55 - [2024-10-10 09:57:55] The monster Monstruo 555709101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:57:56 - [2024-10-10 09:57:56] The monster Monstruo 565709101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:57:57 - [2024-10-10 09:57:57] The monster Monstruo 575709101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:57:59 - [2024-10-10 09:57:59] The monster Monstruo 595709101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:58:00 - [2024-10-10 09:58:00] The monster Monstruo 5809101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:58:01 - [2024-10-10 09:58:01] The monster Monstruo 15809101024 , Tipo: BUENO , Combinación Oscura, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:58:02 - [2024-10-10 09:58:02] The monster Monstruo 25809101024 , Tipo: BUENO , Combinación Oscura, Metálico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 09:58:03 - [2024-10-10 09:58:03] The monster Monstruo 35809101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:58:04 - [2024-10-10 09:58:04] The monster Monstruo 45809101024 , Tipo: BUENO , Combinación Oscura, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:58:05 - [2024-10-10 09:58:05] The monster Monstruo 55809101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:58:06 - [2024-10-10 09:58:06] Monster Monstruo 65809101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 09:58:06 - [2024-10-10 09:58:06] MonsterMonstruo 65809101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta added to tray 2.
2024-10-10 09:58:07 - [2024-10-10 09:58:07] The monster Monstruo 75809101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:58:08 - [2024-10-10 09:58:08] Monster Monstruo 85809101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 09:58:08 - [2024-10-10 09:58:08] MonsterMonstruo 85809101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica added to tray 2.
2024-10-10 09:58:09 - [2024-10-10 09:58:09] The monster Monstruo 95809101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:58:10 - [2024-10-10 09:58:10] Monster Monstruo 105809101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 09:58:10 - [2024-10-10 09:58:10] MonsterMonstruo 105809101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica added to tray 3.
2024-10-10 09:58:11 - [2024-10-10 09:58:11] Monster Monstruo 115809101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 09:58:12 - [2024-10-10 09:58:12] Monster Monstruo 125809101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 09:58:12 - [2024-10-10 09:58:12] MonsterMonstruo 115809101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica added to tray 3.
2024-10-10 09:58:13 - [2024-10-10 09:58:13] The monster Monstruo 135809101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 09:58:14 - [2024-10-10 09:58:14] The monster Monstruo 145809101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:58:14 - [2024-10-10 09:58:14] MonsterMonstruo 125809101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta added to tray 4.
2024-10-10 09:58:15 - [2024-10-10 09:58:15] The monster Monstruo 155809101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:58:16 - [2024-10-10 09:58:16] Monster Monstruo 165809101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 09:58:16 - [2024-10-10 09:58:16] MonsterMonstruo 165809101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada added to tray 4.
2024-10-10 09:58:17 - [2024-10-10 09:58:17] The monster Monstruo 175809101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:58:18 - [2024-10-10 09:58:18] The monster Monstruo 185809101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 09:58:28 - [2024-10-10 09:58:28] Monster Monstruo 375709101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica emptied from tray 1.
2024-10-10 09:58:28 - [2024-10-10 09:58:28] Monster Monstruo 485709101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada emptied from tray 1.
2024-10-10 09:58:28 - [2024-10-10 09:58:28] Monster Monstruo 65809101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta emptied from tray 2.
2024-10-10 09:58:28 - [2024-10-10 09:58:28] Monster Monstruo 85809101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica emptied from tray 2.
2024-10-10 09:58:28 - [2024-10-10 09:58:28] Monster Monstruo 105809101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica emptied from tray 3.
2024-10-10 09:58:28 - [2024-10-10 09:58:28] Monster Monstruo 115809101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica emptied from tray 3.
2024-10-10 09:58:28 - [2024-10-10 09:58:28] Monster Monstruo 125809101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta emptied from tray 4.
2024-10-10 09:58:28 - [2024-10-10 09:58:28] Monster Monstruo 165809101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada emptied from tray 4.
2024-10-10 09:58:29 - [2024-10-10 09:58:29] The monster Monstruo 285809101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:58:29 - [2024-10-10 09:58:29] Monster Monstruo 375709101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was dequeued.
2024-10-10 09:58:29 - [2024-10-10 09:58:29] The monster Monstruo 375709101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica entered storage and is available for delivery.
2024-10-10 09:58:29 - [2024-10-10 09:58:29] The monster Monstruo 485709101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada entered storage and is available for delivery.
2024-10-10 09:58:29 - [2024-10-10 09:58:29] The monster Monstruo 65809101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta entered storage and is available for delivery.
2024-10-10 09:58:29 - [2024-10-10 09:58:29] The monster Monstruo 85809101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica entered storage and is available for delivery.
2024-10-10 09:58:29 - [2024-10-10 09:58:29] The monster Monstruo 105809101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica entered storage and is available for delivery.
2024-10-10 09:58:29 - [2024-10-10 09:58:29] The monster Monstruo 115809101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica entered storage and is available for delivery.
2024-10-10 09:58:29 - [2024-10-10 09:58:29] The monster Monstruo 125809101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta entered storage and is available for delivery.
2024-10-10 09:58:29 - [2024-10-10 09:58:29] The monster Monstruo 165809101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada entered storage and is available for delivery.
2024-10-10 09:58:30 - [2024-10-10 09:58:30] The monster Monstruo 305809101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 09:58:31 - [2024-10-10 09:58:31] The monster Monstruo 315809101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:58:32 - [2024-10-10 09:58:32] The monster Monstruo 325809101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:58:33 - [2024-10-10 09:58:33] The monster Monstruo 335809101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 09:58:34 - [2024-10-10 09:58:34] The monster Monstruo 345809101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:58:35 - [2024-10-10 09:58:35] Monster Monstruo 355809101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 09:58:36 - [2024-10-10 09:58:36] The monster Monstruo 365809101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:58:37 - [2024-10-10 09:58:37] MonsterMonstruo 355809101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada added to tray 1.
2024-10-10 09:58:37 - [2024-10-10 09:58:37] Monster Monstruo 375809101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 09:58:38 - [2024-10-10 09:58:38] The monster Monstruo 385809101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:58:39 - [2024-10-10 09:58:39] MonsterMonstruo 375809101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta added to tray 1.
2024-10-10 09:58:39 - [2024-10-10 09:58:39] The monster Monstruo 395809101024 , Tipo: BUENO , Combinación Oscura, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:58:40 - [2024-10-10 09:58:40] Monster Monstruo 405809101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 09:58:41 - [2024-10-10 09:58:41] MonsterMonstruo 405809101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada added to tray 2.
2024-10-10 09:58:41 - [2024-10-10 09:58:41] The monster Monstruo 415809101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:58:42 - [2024-10-10 09:58:42] Monster Monstruo 425809101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 09:58:43 - [2024-10-10 09:58:43] MonsterMonstruo 425809101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada added to tray 2.
2024-10-10 09:58:43 - [2024-10-10 09:58:43] The monster Monstruo 435809101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 09:58:44 - [2024-10-10 09:58:44] Monster Monstruo 445809101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 09:58:45 - [2024-10-10 09:58:45] MonsterMonstruo 445809101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica added to tray 3.
2024-10-10 09:58:45 - [2024-10-10 09:58:45] The monster Monstruo 455809101024 , Tipo: BUENO , Combinación Oscura, Metálico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:58:46 - [2024-10-10 09:58:46] The monster Monstruo 465809101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 09:58:47 - [2024-10-10 09:58:47] The monster Monstruo 475809101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:58:48 - [2024-10-10 09:58:48] The monster Monstruo 485809101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:58:49 - [2024-10-10 09:58:49] The monster Monstruo 495809101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:58:50 - [2024-10-10 09:58:50] Monster Monstruo 505809101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 09:58:51 - [2024-10-10 09:58:51] MonsterMonstruo 505809101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica added to tray 3.
2024-10-10 09:58:51 - [2024-10-10 09:58:51] The monster Monstruo 515809101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:58:52 - [2024-10-10 09:58:52] The monster Monstruo 525809101024 , Tipo: BUENO , Combinación Oscura, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:58:53 - [2024-10-10 09:58:53] The monster Monstruo 535809101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 09:58:54 - [2024-10-10 09:58:54] The monster Monstruo 545809101024 , Tipo: BUENO , Combinación Oscura, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:58:55 - [2024-10-10 09:58:55] The monster Monstruo 555809101024 , Tipo: BUENO , Combinación Oscura, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:58:56 - [2024-10-10 09:58:56] The monster Monstruo 565809101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 10:21:48 - [2024-10-10 10:21:48] The order: Name: NATALIA, Priority: No, Number: PROGRA, of 1, INTELIGENCIA, VELOCIDAD, LOCURA, 
2024-10-10 10:21:48 - [2024-10-10 10:21:48] The order: Name: ALLAN, Priority: No, Number: 2, of DESTRUCCION, 
2024-10-10 10:21:48 - [2024-10-10 10:21:48] The order: Name: JIMENA, Priority: No, Number: PROGRA, of 3, REGENERACION, 
2024-10-10 10:21:48 - [2024-10-10 10:21:48] The order: Name: JUAN, Priority: No, Number: 4, of MALDAD, 
2024-10-10 10:22:03 - [2024-10-10 10:22:03] The monster Monstruo 32210101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 10:22:04 - [2024-10-10 10:22:04] Monster Monstruo 42210101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 10:22:04 - [2024-10-10 10:22:04] MonsterMonstruo 42210101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada added to tray 1.
2024-10-10 10:22:05 - [2024-10-10 10:22:05] The monster Monstruo 52210101024 , Tipo: BUENO , Combinación Oscura, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 10:22:06 - [2024-10-10 10:22:06] The monster Monstruo 62210101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 10:22:07 - [2024-10-10 10:22:07] Monster Monstruo 72210101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 10:22:08 - [2024-10-10 10:22:08] MonsterMonstruo 72210101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica added to tray 1.
2024-10-10 10:22:08 - [2024-10-10 10:22:08] The monster Monstruo 82210101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 10:22:09 - [2024-10-10 10:22:09] The monster Monstruo 92210101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 10:22:10 - [2024-10-10 10:22:10] Monster Monstruo 102210101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 10:22:11 - [2024-10-10 10:22:11] Monster Monstruo 112210101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 10:22:12 - [2024-10-10 10:22:12] MonsterMonstruo 102210101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica added to tray 2.
2024-10-10 10:22:12 - [2024-10-10 10:22:12] The monster Monstruo 122210101024 , Tipo: BUENO , Combinación Oscura, Metálico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 10:22:13 - [2024-10-10 10:22:13] Monster Monstruo 132210101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 10:22:14 - [2024-10-10 10:22:14] MonsterMonstruo 112210101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica added to tray 2.
2024-10-10 10:22:14 - [2024-10-10 10:22:14] The monster Monstruo 142210101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 10:22:15 - [2024-10-10 10:22:15] The monster Monstruo 152210101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 10:22:16 - [2024-10-10 10:22:16] MonsterMonstruo 132210101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica added to tray 3.
2024-10-10 10:22:16 - [2024-10-10 10:22:16] The monster Monstruo 162210101024 , Tipo: BUENO , Combinación Oscura, Metálico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 10:22:17 - [2024-10-10 10:22:17] The monster Monstruo 172210101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 10:22:18 - [2024-10-10 10:22:18] Monster Monstruo 182210101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 10:22:19 - [2024-10-10 10:22:19] The monster Monstruo 192210101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 10:22:20 - [2024-10-10 10:22:20] MonsterMonstruo 182210101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica added to tray 3.
2024-10-10 10:22:20 - [2024-10-10 10:22:20] The monster Monstruo 202210101024 , Tipo: BUENO , Combinación Oscura, Metálico, Despiadada entered the garbage collector because it was GOOD.
