2024-10-10 03:10:26 - [2024-10-10 03:10:26] The monster Monstruo 261003101024 , Tipo: BUENO , Combinación Oscura, Metálico, Astuta entered because it was GOOD.
2024-10-10 10:27:49 - [2024-10-10 10:27:49] The monster Monstruo 492710101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered because it was GOOD.
2024-10-10 10:27:50 - [2024-10-10 10:27:50] The monster Monstruo 502710101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 10:27:51 - [2024-10-10 10:27:51] The monster Monstruo 512710101024 , Tipo: BUENO , Combinación Oscura, Metálico, Caótica entered because it was GOOD.
2024-10-10 10:27:53 - [2024-10-10 10:27:53] The monster Monstruo 532710101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 10:27:54 - [2024-10-10 10:27:54] The monster Monstruo 542710101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Caótica entered because it was GOOD.
2024-10-10 10:27:56 - [2024-10-10 10:27:56] The monster Monstruo 562710101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered because it was GOOD.
2024-10-10 10:27:57 - [2024-10-10 10:27:57] The monster Monstruo 572710101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Caótica entered because it was GOOD.
2024-10-10 10:28:08 - [2024-10-10 10:28:08] The monster Monstruo 402710101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica entered because inspector 2 discarded it.
2024-10-10 10:28:08 - [2024-10-10 10:28:08] The monster Monstruo 82810101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Caótica entered because it was GOOD.
2024-10-10 10:28:10 - [2024-10-10 10:28:10] The monster Monstruo 102810101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Caótica entered because it was GOOD.
2024-10-10 10:28:11 - [2024-10-10 10:28:11] The monster Monstruo 112810101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Caótica entered because it was GOOD.
2024-10-10 10:28:13 - [2024-10-10 10:28:13] The monster Monstruo 132810101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered because it was GOOD.
2024-10-10 10:28:15 - [2024-10-10 10:28:15] The monster Monstruo 152810101024 , Tipo: BUENO , Combinación Oscura, Metálico, Astuta entered because it was GOOD.
2024-10-10 10:28:16 - [2024-10-10 10:28:16] The monster Monstruo 162810101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 10:28:17 - [2024-10-10 10:28:17] The monster Monstruo 172810101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 10:28:20 - [2024-10-10 10:28:20] The monster Monstruo 202810101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 10:28:21 - [2024-10-10 10:28:21] The monster Monstruo 212810101024 , Tipo: BUENO , Combinación Elemental, Metálico, Astuta entered because it was GOOD.
2024-10-10 10:28:22 - [2024-10-10 10:28:22] The monster Monstruo 222810101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 10:28:23 - [2024-10-10 10:28:23] The monster Monstruo 232810101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 10:28:24 - [2024-10-10 10:28:24] The monster Monstruo 242810101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered because it was GOOD.
2024-10-10 10:28:25 - [2024-10-10 10:28:25] The monster Monstruo 252810101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 10:28:26 - [2024-10-10 10:28:26] The monster Monstruo 262810101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 10:28:27 - [2024-10-10 10:28:27] The monster Monstruo 272810101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered because it was GOOD.
2024-10-10 10:28:28 - [2024-10-10 10:28:28] The monster Monstruo 282810101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Caótica entered because it was GOOD.
2024-10-10 10:28:29 - [2024-10-10 10:28:29] The monster Monstruo 292810101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Astuta entered because it was GOOD.
2024-10-10 10:28:31 - [2024-10-10 10:28:31] The monster Monstruo 312810101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 10:28:32 - [2024-10-10 10:28:32] The monster Monstruo 322810101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 10:28:33 - [2024-10-10 10:28:33] The monster Monstruo 332810101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Caótica entered because it was GOOD.
2024-10-10 10:28:34 - [2024-10-10 10:28:34] The monster Monstruo 342810101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 10:28:38 - [2024-10-10 10:28:38] The monster Monstruo 382810101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered because it was GOOD.
2024-10-10 10:28:50 - [2024-10-10 10:28:50] The monster Monstruo 92810101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica entered because inspector 1 discarded it.
2024-10-10 10:28:50 - [2024-10-10 10:28:50] The monster Monstruo 182810101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada entered because inspector 1 discarded it.
2024-10-10 10:28:50 - [2024-10-10 10:28:50] The monster Monstruo 192810101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica entered because inspector 2 discarded it.
2024-10-10 10:28:50 - [2024-10-10 10:28:50] The monster Monstruo 502810101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Caótica entered because it was GOOD.
2024-10-10 10:28:51 - [2024-10-10 10:28:51] The monster Monstruo 512810101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered because it was GOOD.
2024-10-10 10:28:53 - [2024-10-10 10:28:53] The monster Monstruo 532810101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 10:28:54 - [2024-10-10 10:28:54] The monster Monstruo 542810101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Caótica entered because it was GOOD.
2024-10-10 10:28:55 - [2024-10-10 10:28:55] The monster Monstruo 552810101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Caótica entered because it was GOOD.
2024-10-10 10:28:56 - [2024-10-10 10:28:56] The monster Monstruo 562810101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered because it was GOOD.
2024-10-10 10:28:57 - [2024-10-10 10:28:57] The monster Monstruo 572810101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Caótica entered because it was GOOD.
2024-10-10 10:28:58 - [2024-10-10 10:28:58] The monster Monstruo 582810101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 10:28:59 - [2024-10-10 10:28:59] The monster Monstruo 592810101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 10:29:00 - [2024-10-10 10:29:00] The monster Monstruo 2910101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 10:29:02 - [2024-10-10 10:29:02] The monster Monstruo 22910101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered because it was GOOD.
2024-10-10 10:29:03 - [2024-10-10 10:29:03] The monster Monstruo 32910101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 10:29:04 - [2024-10-10 10:29:04] The monster Monstruo 42910101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered because it was GOOD.
2024-10-10 10:29:05 - [2024-10-10 10:29:05] The monster Monstruo 52910101024 , Tipo: BUENO , Combinación Elemental, Metálico, Astuta entered because it was GOOD.
2024-10-10 10:29:06 - [2024-10-10 10:29:06] The monster Monstruo 62910101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Despiadada entered because it was GOOD.
2024-10-10 10:29:07 - [2024-10-10 10:29:07] The monster Monstruo 72910101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered because it was GOOD.
2024-10-10 10:29:08 - [2024-10-10 10:29:08] The monster Monstruo 82910101024 , Tipo: BUENO , Combinación Elemental, Metálico, Astuta entered because it was GOOD.
2024-10-10 10:29:09 - [2024-10-10 10:29:09] The monster Monstruo 92910101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered because it was GOOD.
2024-10-10 10:29:10 - [2024-10-10 10:29:10] The monster Monstruo 102910101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 10:29:11 - [2024-10-10 10:29:11] The monster Monstruo 112910101024 , Tipo: BUENO , Combinación Elemental, Metálico, Astuta entered because it was GOOD.
2024-10-10 10:29:12 - [2024-10-10 10:29:12] The monster Monstruo 122910101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Astuta entered because it was GOOD.
2024-10-10 10:29:14 - [2024-10-10 10:29:14] The monster Monstruo 142910101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered because it was GOOD.
2024-10-10 10:29:17 - [2024-10-10 10:29:17] The monster Monstruo 172910101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered because it was GOOD.
2024-10-10 10:29:19 - [2024-10-10 10:29:19] The monster Monstruo 192910101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 10:29:20 - [2024-10-10 10:29:20] The monster Monstruo 202910101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 10:29:21 - [2024-10-10 10:29:21] The monster Monstruo 212910101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Astuta entered because it was GOOD.
2024-10-10 10:29:32 - [2024-10-10 10:29:32] The monster Monstruo 392810101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada entered because inspector 1 discarded it.
2024-10-10 10:29:32 - [2024-10-10 10:29:32] The monster Monstruo 522810101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada entered because inspector 1 discarded it.
2024-10-10 10:29:32 - [2024-10-10 10:29:32] The monster Monstruo 12910101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica entered because inspector 1 discarded it.
2024-10-10 10:29:32 - [2024-10-10 10:29:32] The monster Monstruo 132910101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta entered because inspector 1 discarded it.
2024-10-10 10:29:32 - [2024-10-10 10:29:32] The monster Monstruo 322910101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Despiadada entered because it was GOOD.
2024-10-10 10:29:33 - [2024-10-10 10:29:33] The monster Monstruo 332910101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 10:29:36 - [2024-10-10 10:29:36] The monster Monstruo 362910101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered because it was GOOD.
2024-10-10 10:29:37 - [2024-10-10 10:29:37] The monster Monstruo 372910101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Caótica entered because it was GOOD.
2024-10-10 10:29:38 - [2024-10-10 10:29:38] The monster Monstruo 382910101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered because it was GOOD.
2024-10-10 10:29:39 - [2024-10-10 10:29:39] The monster Monstruo 392910101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Despiadada entered because it was GOOD.
2024-10-10 10:29:40 - [2024-10-10 10:29:40] The monster Monstruo 402910101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Despiadada entered because it was GOOD.
2024-10-10 10:29:41 - [2024-10-10 10:29:41] The monster Monstruo 412910101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 10:29:42 - [2024-10-10 10:29:42] The monster Monstruo 422910101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 10:29:44 - [2024-10-10 10:29:44] The monster Monstruo 442910101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Despiadada entered because it was GOOD.
2024-10-10 10:29:46 - [2024-10-10 10:29:46] The monster Monstruo 462910101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Astuta entered because it was GOOD.
2024-10-10 10:29:47 - [2024-10-10 10:29:47] The monster Monstruo 472910101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Caótica entered because it was GOOD.
2024-10-10 10:29:49 - [2024-10-10 10:29:49] The monster Monstruo 492910101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 10:29:51 - [2024-10-10 10:29:51] The monster Monstruo 512910101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Despiadada entered because it was GOOD.
2024-10-10 10:29:52 - [2024-10-10 10:29:52] The monster Monstruo 522910101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Astuta entered because it was GOOD.
2024-10-10 10:29:53 - [2024-10-10 10:29:53] The monster Monstruo 532910101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Despiadada entered because it was GOOD.
2024-10-10 10:29:54 - [2024-10-10 10:29:54] The monster Monstruo 542910101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 10:29:55 - [2024-10-10 10:29:55] The monster Monstruo 552910101024 , Tipo: BUENO , Combinación Oscura, Metálico, Astuta entered because it was GOOD.
2024-10-10 10:29:56 - [2024-10-10 10:29:56] The monster Monstruo 562910101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 10:29:57 - [2024-10-10 10:29:57] The monster Monstruo 572910101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Caótica entered because it was GOOD.
2024-10-10 10:29:59 - [2024-10-10 10:29:59] The monster Monstruo 592910101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 10:30:00 - [2024-10-10 10:30:00] The monster Monstruo 3010101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 10:30:02 - [2024-10-10 10:30:02] The monster Monstruo 23010101024 , Tipo: BUENO , Combinación Elemental, Metálico, Astuta entered because it was GOOD.
2024-10-10 10:30:03 - [2024-10-10 10:30:03] The monster Monstruo 33010101024 , Tipo: BUENO , Combinación Elemental, Metálico, Astuta entered because it was GOOD.
2024-10-10 10:30:05 - [2024-10-10 10:30:05] The monster Monstruo 53010101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 10:30:06 - [2024-10-10 10:30:06] The monster Monstruo 63010101024 , Tipo: BUENO , Combinación Elemental, Metálico, Astuta entered because it was GOOD.
2024-10-10 10:30:16 - [2024-10-10 10:30:16] The monster Monstruo 342910101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica entered because inspector 1 discarded it.
2024-10-10 10:30:16 - [2024-10-10 10:30:16] The monster Monstruo 452910101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica entered because inspector 1 discarded it.
2024-10-10 10:30:16 - [2024-10-10 10:30:16] The monster Monstruo 163010101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Caótica entered because it was GOOD.
2024-10-10 10:30:17 - [2024-10-10 10:30:17] The monster Monstruo 173010101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Despiadada entered because it was GOOD.
2024-10-10 10:30:20 - [2024-10-10 10:30:20] The monster Monstruo 203010101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 10:30:21 - [2024-10-10 10:30:21] The monster Monstruo 213010101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Caótica entered because it was GOOD.
2024-10-10 10:30:22 - [2024-10-10 10:30:22] The monster Monstruo 223010101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered because it was GOOD.
2024-10-10 10:30:23 - [2024-10-10 10:30:23] The monster Monstruo 233010101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Despiadada entered because it was GOOD.
2024-10-10 10:30:24 - [2024-10-10 10:30:24] The monster Monstruo 243010101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 10:30:25 - [2024-10-10 10:30:25] The monster Monstruo 253010101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Caótica entered because it was GOOD.
2024-10-10 10:30:26 - [2024-10-10 10:30:26] The monster Monstruo 263010101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 10:30:27 - [2024-10-10 10:30:27] The monster Monstruo 273010101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered because it was GOOD.
2024-10-10 10:30:28 - [2024-10-10 10:30:28] The monster Monstruo 283010101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 10:30:29 - [2024-10-10 10:30:29] The monster Monstruo 293010101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Caótica entered because it was GOOD.
2024-10-10 10:30:31 - [2024-10-10 10:30:31] The monster Monstruo 313010101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered because it was GOOD.
2024-10-10 10:30:32 - [2024-10-10 10:30:32] The monster Monstruo 323010101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Despiadada entered because it was GOOD.
2024-10-10 10:30:34 - [2024-10-10 10:30:34] The monster Monstruo 343010101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 10:30:35 - [2024-10-10 10:30:35] The monster Monstruo 353010101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Despiadada entered because it was GOOD.
2024-10-10 10:30:36 - [2024-10-10 10:30:36] The monster Monstruo 363010101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered because it was GOOD.
2024-10-10 10:30:38 - [2024-10-10 10:30:38] The monster Monstruo 383010101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 10:30:39 - [2024-10-10 10:30:39] The monster Monstruo 393010101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 10:30:40 - [2024-10-10 10:30:40] The monster Monstruo 403010101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered because it was GOOD.
2024-10-10 10:30:41 - [2024-10-10 10:30:41] The monster Monstruo 413010101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Despiadada entered because it was GOOD.
2024-10-10 10:30:44 - [2024-10-10 10:30:44] The monster Monstruo 443010101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered because it was GOOD.
2024-10-10 10:30:45 - [2024-10-10 10:30:45] The monster Monstruo 453010101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 10:30:46 - [2024-10-10 10:30:46] The monster Monstruo 463010101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 10:30:47 - [2024-10-10 10:30:47] The monster Monstruo 473010101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered because it was GOOD.
2024-10-10 10:30:48 - [2024-10-10 10:30:48] The monster Monstruo 483010101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 10:30:49 - [2024-10-10 10:30:49] The monster Monstruo 493010101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered because it was GOOD.
2024-10-10 10:30:51 - [2024-10-10 10:30:51] The monster Monstruo 513010101024 , Tipo: BUENO , Combinación Oscura, Metálico, Despiadada entered because it was GOOD.
2024-10-10 10:30:53 - [2024-10-10 10:30:53] The monster Monstruo 533010101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Caótica entered because it was GOOD.
2024-10-10 10:31:57 - [2024-10-10 10:31:57] The monster Monstruo 573110101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered because it was GOOD.
2024-10-10 10:31:58 - [2024-10-10 10:31:58] The monster Monstruo 583110101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered because it was GOOD.
2024-10-10 10:31:59 - [2024-10-10 10:31:59] The monster Monstruo 593110101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 10:32:01 - [2024-10-10 10:32:01] The monster Monstruo 13210101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered because it was GOOD.
2024-10-10 10:32:02 - [2024-10-10 10:32:02] The monster Monstruo 23210101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered because it was GOOD.
2024-10-10 10:32:03 - [2024-10-10 10:32:03] The monster Monstruo 33210101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered because it was GOOD.
2024-10-10 10:32:05 - [2024-10-10 10:32:05] The monster Monstruo 53210101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Caótica entered because it was GOOD.
2024-10-10 10:32:06 - [2024-10-10 10:32:06] The monster Monstruo 63210101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 10:32:07 - [2024-10-10 10:32:07] The monster Monstruo 73210101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered because it was GOOD.
2024-10-10 10:32:09 - [2024-10-10 10:32:09] The monster Monstruo 93210101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 10:32:10 - [2024-10-10 10:32:10] The monster Monstruo 103210101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Caótica entered because it was GOOD.
2024-10-10 10:32:11 - [2024-10-10 10:32:11] The monster Monstruo 113210101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Astuta entered because it was GOOD.
2024-10-10 10:32:12 - [2024-10-10 10:32:12] The monster Monstruo 123210101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered because it was GOOD.
2024-10-10 10:32:13 - [2024-10-10 10:32:13] The monster Monstruo 133210101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Caótica entered because it was GOOD.
2024-10-10 10:32:14 - [2024-10-10 10:32:14] The monster Monstruo 143210101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered because it was GOOD.
2024-10-10 10:32:15 - [2024-10-10 10:32:15] The monster Monstruo 153210101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Despiadada entered because it was GOOD.
2024-10-10 10:32:16 - [2024-10-10 10:32:16] The monster Monstruo 163210101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 10:32:17 - [2024-10-10 10:32:17] The monster Monstruo 173210101024 , Tipo: BUENO , Combinación Oscura, Metálico, Astuta entered because it was GOOD.
2024-10-10 10:32:18 - [2024-10-10 10:32:18] The monster Monstruo 183210101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered because it was GOOD.
2024-10-10 10:32:21 - [2024-10-10 10:32:21] The monster Monstruo 213210101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered because it was GOOD.
2024-10-10 10:32:23 - [2024-10-10 10:32:23] The monster Monstruo 233210101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered because it was GOOD.
2024-10-10 10:32:24 - [2024-10-10 10:32:24] The monster Monstruo 243210101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 10:32:25 - [2024-10-10 10:32:25] The monster Monstruo 253210101024 , Tipo: BUENO , Combinación Oscura, Metálico, Despiadada entered because it was GOOD.
2024-10-10 10:32:26 - [2024-10-10 10:32:26] The monster Monstruo 263210101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 10:32:27 - [2024-10-10 10:32:27] The monster Monstruo 273210101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 10:32:28 - [2024-10-10 10:32:28] The monster Monstruo 283210101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Despiadada entered because it was GOOD.
2024-10-10 10:32:29 - [2024-10-10 10:32:29] The monster Monstruo 293210101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered because it was GOOD.
2024-10-10 10:32:30 - [2024-10-10 10:32:30] The monster Monstruo 303210101024 , Tipo: BUENO , Combinación Elemental, Metálico, Astuta entered because it was GOOD.
2024-10-10 10:32:31 - [2024-10-10 10:32:31] The monster Monstruo 313210101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 10:32:32 - [2024-10-10 10:32:32] The monster Monstruo 323210101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Despiadada entered because it was GOOD.
2024-10-10 10:32:33 - [2024-10-10 10:32:33] The monster Monstruo 333210101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 10:32:34 - [2024-10-10 10:32:34] The monster Monstruo 343210101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Despiadada entered because it was GOOD.
2024-10-10 10:32:35 - [2024-10-10 10:32:35] The monster Monstruo 353210101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered because it was GOOD.
2024-10-10 10:32:37 - [2024-10-10 10:32:37] The monster Monstruo 373210101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 10:32:38 - [2024-10-10 10:32:38] The monster Monstruo 383210101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered because it was GOOD.
2024-10-10 10:32:39 - [2024-10-10 10:32:39] The monster Monstruo 393210101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered because it was GOOD.
2024-10-10 10:32:40 - [2024-10-10 10:32:40] The monster Monstruo 403210101024 , Tipo: BUENO , Combinación Oscura, Metálico, Astuta entered because it was GOOD.
2024-10-10 10:32:41 - [2024-10-10 10:32:41] The monster Monstruo 413210101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered because it was GOOD.
2024-10-10 10:32:42 - [2024-10-10 10:32:42] The monster Monstruo 423210101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Despiadada entered because it was GOOD.
2024-10-10 10:32:44 - [2024-10-10 10:32:43] The monster Monstruo 443210101024 , Tipo: BUENO , Combinación Elemental, Metálico, Astuta entered because it was GOOD.
2024-10-10 10:32:45 - [2024-10-10 10:32:45] The monster Monstruo 453210101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered because it was GOOD.
2024-10-10 10:32:46 - [2024-10-10 10:32:46] The monster Monstruo 463210101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Caótica entered because it was GOOD.
2024-10-10 10:32:47 - [2024-10-10 10:32:47] The monster Monstruo 473210101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 10:32:48 - [2024-10-10 10:32:48] The monster Monstruo 483210101024 , Tipo: BUENO , Combinación Elemental, Metálico, Astuta entered because it was GOOD.
2024-10-10 10:32:49 - [2024-10-10 10:32:49] The monster Monstruo 493210101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered because it was GOOD.
